Mission,Year,Country,Type,Status,Budget_Million_USD
FalconSat,2006,USA,Satellite,Failure,62
DemoSat,2007,USA,Satellite,Failure,62
Trailblazer,2008,USA,Satellite,Failure,62
RatSat,2008,USA,Satellite,Success,62
RazakSat,2009,USA,Satellite,Success,62
Falcon 9 Test Flight,2010,USA,Satellite,Success,62
COTS 1,2010,USA,Satellite,Success,62
COTS 2,2012,USA,Satellite,Success,62
CRS-1,2012,USA,Satellite,Success,62
CRS-2,2013,USA,Satellite,Success,62
CASSIOPE,2013,USA,Satellite,Success,62
SES-8,2013,USA,Satellite,Success,62
Thaicom 6,2014,USA,Satellite,Success,62
CRS-3,2014,USA,Satellite,Success,62
OG-2 Mission 1,2014,USA,Satellite,Success,62
AsiaSat 8,2014,USA,Satellite,Success,62
AsiaSat 6,2014,USA,Satellite,Success,62
CRS-4,2014,USA,Satellite,Success,62
CRS-5,2015,USA,Satellite,Success,62
DSCOVR,2015,USA,Satellite,Success,62
ABS-3A / Eutelsat 115W B,2015,USA,Satellite,Success,62
CRS-6,2015,USA,Satellite,Success,62
TürkmenÄlem 52°E / MonacoSAT,2015,USA,Satellite,Success,62
CRS-7,2015,USA,Satellite,Failure,62
OG-2 Mission 2,2015,USA,Satellite,Success,62
Jason 3,2016,USA,Satellite,Success,62
SES-9,2016,USA,Satellite,Success,62
CRS-8,2016,USA,Satellite,Success,62
JCSAT-2B,2016,USA,Satellite,Success,62
Thaicom 8,2016,USA,Satellite,Success,62
ABS-2A / Eutelsat 117W B,2016,USA,Satellite,Success,62
CRS-9,2016,USA,Satellite,Success,62
JCSAT-16,2016,USA,Satellite,Success,62
Amos-6,2016,USA,Satellite,Failure,62
Iridium NEXT Mission 1,2017,USA,Satellite,Success,62
CRS-10,2017,USA,Satellite,Success,62
EchoStar 23,2017,USA,Satellite,Success,62
SES-10,2017,USA,Satellite,Success,62
NROL-76,2017,USA,Satellite,Success,62
Inmarsat-5 F4,2017,USA,Satellite,Success,62
CRS-11,2017,USA,Satellite,Success,62
BulgariaSat-1,2017,USA,Satellite,Success,62
Iridium NEXT Mission 2,2017,USA,Satellite,Success,62
Intelsat 35e,2017,USA,Satellite,Success,62
CRS-12,2017,USA,Satellite,Success,62
FormoSat-5,2017,USA,Satellite,Success,62
Boeing X-37B OTV-5,2017,USA,Satellite,Success,62
Iridium NEXT Mission 3,2017,USA,Satellite,Success,62
SES-11 / Echostar 105,2017,USA,Satellite,Success,62
KoreaSat 5A,2017,USA,Satellite,Success,62
CRS-13,2017,USA,Satellite,Success,62
Iridium NEXT Mission 4,2017,USA,Satellite,Success,62
ZUMA,2018,USA,Satellite,Success,62
SES-16 / GovSat-1,2018,USA,Satellite,Success,62
Falcon Heavy Test Flight,2018,USA,Satellite,Success,62
Paz / Starlink Demo,2018,USA,Satellite,Success,62
Hispasat 30W-6,2018,USA,Satellite,Success,62
Iridium NEXT Mission 5,2018,USA,Satellite,Success,62
CRS-14,2018,USA,Satellite,Success,62
TESS,2018,USA,Satellite,Success,62
Bangabandhu-1,2018,USA,Satellite,Success,62
Iridium NEXT Mission 6,2018,USA,Satellite,Success,62
SES-12,2018,USA,Satellite,Success,62
CRS-15,2018,USA,Satellite,Success,62
Telstar 19V,2018,USA,Satellite,Success,62
Iridium NEXT Mission 7,2018,USA,Satellite,Success,62
Merah Putih,2018,USA,Satellite,Success,62
Telstar 18V,2018,USA,Satellite,Success,62
SAOCOM 1A,2018,USA,Satellite,Success,62
Es’hail 2,2018,USA,Satellite,Success,62
SSO-A,2018,USA,Satellite,Success,62
CRS-16,2018,USA,Satellite,Success,62
GPS III SV01,2018,USA,Satellite,Success,62
Iridium NEXT Mission 8,2019,USA,Satellite,Success,62
Nusantara Satu (PSN-6) / S5 / Beresheet,2019,USA,Satellite,Success,62
CCtCap Demo Mission 1,2019,USA,Satellite,Success,62
ArabSat 6A,2019,USA,Satellite,Success,62
CRS-17,2019,USA,Satellite,Success,62
Starlink v0.9,2019,USA,Satellite,Success,62
RADARSAT Constellation,2019,USA,Satellite,Success,62
STP-2,2019,USA,Satellite,Success,62
CRS-18,2019,USA,Satellite,Success,62
Amos-17,2019,USA,Satellite,Success,62
Starlink-1,2019,USA,Satellite,Success,62
CRS-19,2019,USA,Satellite,Success,62
JCSat 18 / Kacific 1,2019,USA,Satellite,Success,62
Starlink-2,2020,USA,Satellite,Success,62
Crew Dragon In Flight Abort Test,2020,USA,Human,Success,62
Starlink-3,2020,USA,Satellite,Success,62
Starlink-4,2020,USA,Satellite,Success,62
CRS-20,2020,USA,Satellite,Success,62
Starlink-5,2020,USA,Satellite,Success,62
Starlink-6,2020,USA,Satellite,Success,62
CCtCap Demo Mission 2,2020,USA,Satellite,Success,62
Starlink-7,2020,USA,Satellite,Success,62
Starlink-8 & SkySat 16-18,2020,USA,Satellite,Success,62
GPS III SV03 (Columbus),2020,USA,Satellite,Success,62
ANASIS-II,2020,USA,Satellite,Success,62
Starlink-9 (v1.0) & BlackSky Global 5-6,2020,USA,Satellite,Success,62
Starlink-10 (v1.0) & SkySat 19-21,2020,USA,Satellite,Success,62
"SAOCOM 1B, GNOMES-1, Tyvak-0172",2020,USA,Satellite,Success,62
Starlink-11 (v1.0),2020,USA,Satellite,Success,62
Starlink-12 (v1.0),2020,USA,Satellite,Success,62
Starlink-13 (v1.0),2020,USA,Satellite,Success,62
Starlink-14 (v1.0),2020,USA,Satellite,Success,62
GPS III SV04 (Sacagawea),2020,USA,Satellite,Success,62
Crew-1,2020,USA,Human,Success,62
Sentinel-6 Michael Freilich,2020,USA,Satellite,Success,62
Starlink-15 (v1.0),2020,USA,Satellite,Success,62
CRS-21,2020,USA,Satellite,Success,62
SXM-7,2020,USA,Satellite,Success,62
NROL-108,2020,USA,Satellite,Success,62
Turksat 5A,2021,USA,Satellite,Success,62
Starlink-16 (v1.0),2021,USA,Satellite,Success,62
Transporter-1,2021,USA,Satellite,Success,62
Starlink-18 (v1.0),2021,USA,Satellite,Success,62
Starlink-19 (v1.0),2021,USA,Satellite,Success,62
Starlink-17 (v1.0),2021,USA,Satellite,Success,62
Starlink-20 (v1.0),2021,USA,Satellite,Success,62
Starlink-21 (v1.0),2021,USA,Satellite,Success,62
Starlink-22 (v1.0),2021,USA,Satellite,Success,62
Starlink-23 (v1.0),2021,USA,Satellite,Success,62
Crew-2,2021,USA,Human,Success,62
Starlink-24 (v1.0),2021,USA,Satellite,Success,62
Starlink-25 (v1.0),2021,USA,Satellite,Success,62
Starlink-27 (v1.0),2021,USA,Satellite,Success,62
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021,USA,Satellite,Success,62
Starlink-28 (v1.0),2021,USA,Satellite,Success,62
CRS-22 & IROSA,2021,USA,Satellite,Success,62
SXM-8,2021,USA,Satellite,Success,62
GPS III SV05,2021,USA,Satellite,Success,62
Transporter-2,2021,USA,Satellite,Success,62
CRS-23,2021,USA,Satellite,Success,62
Starlink 2-1 (v1.5),2021,USA,Satellite,Success,62
Inspiration4,2021,USA,Satellite,Success,62
Crew-3,2021,USA,Human,Success,62
Starlink 4-1 (v1.5),2021,USA,Satellite,Success,62
DART,2021,USA,Satellite,Success,62
Starlink 4-3 (v1.5),2021,USA,Satellite,Success,62
IXPE,2021,USA,Satellite,Success,62
Starlink 4-4 (v1.5),2021,USA,Satellite,Success,62
Türksat 5B,2021,USA,Satellite,Success,62
CRS-24,2021,USA,Satellite,Success,62
Starlink 4-5 (v1.5),2022,USA,Satellite,Success,62
Transporter-3,2022,USA,Satellite,Success,62
Starlink 4-6 (v1.5),2022,USA,Satellite,Success,62
CSG-2,2022,USA,Satellite,Success,62
NROL-87,2022,USA,Satellite,Success,62
Starlink 4-7 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-8 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-11 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-9 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-10 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-12 (v1.5),2022,USA,Satellite,Success,62
Transporter-4,2022,USA,Satellite,Success,62
Ax-1,2022,USA,Satellite,Success,62
NROL-85,2022,USA,Satellite,Success,62
Starlink 4-14 (v1.5),2022,USA,Satellite,Success,62
Crew-4,2022,USA,Human,Success,62
Starlink 4-16 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-17 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-13 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-15 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-18 (v1.5),2022,USA,Satellite,Success,62
Transporter-5,2022,USA,Satellite,Success,62
Nilesat-301,2022,USA,Satellite,Success,62
Starlink 4-19 (v1.5),2022,USA,Satellite,Success,62
SARah 1,2022,USA,Satellite,Success,62
Globalstar FM15,2022,USA,Satellite,Success,62
SES-22,2022,USA,Satellite,Success,62
Starlink 4-21 (v1.5),2022,USA,Satellite,Success,62
Starlink 3-1 (v1.5),2022,USA,Satellite,Failure,62
CRS-25,2022,USA,Satellite,Success,62
Starlink 4-22 (v1.5),2022,USA,Satellite,Success,62
Starlink 3-2 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-25 (v1.5),2022,USA,Satellite,Success,62
KPLO,2022,USA,Satellite,Success,62
Starlink 4-26 (v1.5),2022,USA,Satellite,Success,62
Starlink 3-3 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-27 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-23 (v1.5),2022,USA,Satellite,Success,62
Starlink 3-4 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022,USA,Satellite,Success,62
Starlink 4-2 (v1.5) & Blue Walker 3,2022,USA,Satellite,Success,62
Starlink 4-34 (v1.5),2022,USA,Satellite,Success,62
Starlink 4-35 (v1.5),2022,USA,Satellite,Success,62
Crew-5,2022,USA,Human,Success,62
USSF-44,2022,USA,Satellite,Failure,62
Starlink 4-36 (v1.5),2022,USA,Satellite,Failure,62
Galaxy 33 (15R) & 34 (12R),2022,USA,Satellite,Failure,62
Hotbird 13F,2022,USA,Satellite,Failure,62
Hotbird 13G,2022,USA,Satellite,Failure,62
Galaxy 31 (23R) & 32 (17R),2022,USA,Satellite,Failure,62
Eutelsat 10B,2022,USA,Satellite,Failure,62
ispace Mission 1 & Rashid,2022,USA,Satellite,Failure,62
CRS-26,2022,USA,Satellite,Failure,62
Starlink 4-37 (v1.5),2022,USA,Satellite,Failure,62
"O3b mPower 1,2",2022,USA,Satellite,Failure,62
SWOT,2022,USA,Satellite,Failure,62
SES-18 & SES-19,2022,USA,Satellite,Failure,62
Transporter-6,2022,USA,Satellite,Failure,62
TTL-1,2022,USA,Satellite,Failure,62
WorldView Legion 1 & 2,2022,USA,Satellite,Failure,62
Viasat-3 & Arcturus,2022,USA,Satellite,Failure,62
O3b mPower 3.4,2022,USA,Satellite,Failure,62
